floor_id,floor,division_id,division,area_id,area
1,01st Floor,192,BNR,464,REGISTER GENERAL OF BNR
1,01st Floor,192,BNR,463,MEETING ROOM
1,01st Floor,192,BNR,466,OFFICE AREA
1,01st Floor,4,Land Commissioner Department,4,OFFICE AREA
1,01st Floor,10,SWITCH ROOM,14,SWITCH ROOM
1,01st Floor,193,Server Room,468,Server Room
2,02nd Floor,13,EDUCATION MINISTRY,20,MINISTER ROOM
2,02nd Floor,13,EDUCATION MINISTRY,21,OFFICE AREA
2,02nd Floor,14,SECRETAY TO THE MINISTER AREA,26,MEETING ROOM
2,02nd Floor,14,SECRETAY TO THE MINISTER AREA,25,SECRETAY TO THE MINISTER ROOM
2,02nd Floor,15,ITRDA OFFICE,29,OFFICE AREA 01
2,02nd Floor,15,ITRDA OFFICE,30,OFFICE AREA 02
2,02nd Floor,16,PRIVATE SECRETARY AREA,33,OFFICE AREA
2,02nd Floor,17,PROVINCIAL DIRECTOR OF SPORTS AREA,34,OFFICE AREA
2,02nd Floor,18,OFFICE AREA,36,MEETING ROOM
2,02nd Floor,18,OFFICE AREA,35,OFFICE AREA
2,02nd Floor,23,SWITCH ROOM,50,SWITCH ROOM
3,03rd Floor,26,COMMISIONER OF LOCAL GOVERNMENT DIVISION,58,ACCOUNTS SECTION
3,03rd Floor,26,COMMISIONER OF LOCAL GOVERNMENT DIVISION,56,COMMISIONER OF LOCAL GOVERNMENT
3,03rd Floor,26,COMMISIONER OF LOCAL GOVERNMENT DIVISION,57,CONFERENCE HALL
3,03rd Floor,26,COMMISIONER OF LOCAL GOVERNMENT DIVISION,60,OFFICE AREA 01
3,03rd Floor,26,COMMISIONER OF LOCAL GOVERNMENT DIVISION,61,OFFICE AREA 02
3,03rd Floor,26,COMMISIONER OF LOCAL GOVERNMENT DIVISION,59,RECORD ROOM
3,03rd Floor,27,PROVISIONAL INDUSTRIES DIVISION,64,DIRECTOR OF PROVISIONAL INDUSTRIES
3,03rd Floor,27,PROVISIONAL INDUSTRIES DIVISION,65,MEETING ROOM
3,03rd Floor,27,PROVISIONAL INDUSTRIES DIVISION,67,OFFICE AREA
3,03rd Floor,27,PROVISIONAL INDUSTRIES DIVISION,66,RECORD ROOM
3,03rd Floor,28,COMMISIONER DIVISION,70,COMMISIONER
3,03rd Floor,28,COMMISIONER DIVISION,71,OFFICE AREA
3,03rd Floor,187,DEPARTMENT OF SOCIAL SERVICE AREA,441,DEPARTMENT OF SOCIAL SERVICE
3,03rd Floor,187,DEPARTMENT OF SOCIAL SERVICE AREA,444,OFFICE AREA
3,03rd Floor,187,DEPARTMENT OF SOCIAL SERVICE AREA,443,SOCIAL SERVICE OFFICERS ROOM
3,03rd Floor,187,DEPARTMENT OF SOCIAL SERVICE AREA,442,STORE ROOM
3,03rd Floor,33,SWITCH ROOM,82,SWITCH ROOM
3,03rd Floor,35,SERVICES RISERS,86,WIFI & PROJECTOR
4,04th Floor,36,CHIEF SECRETARY -DIVISION,88,CHIEF SECRETARY OFFICE
4,04th Floor,36,CHIEF SECRETARY -DIVISION,89,CONFERENCE ROOM
4,04th Floor,36,CHIEF SECRETARY -DIVISION,90,OFFICE AREA
4,04th Floor,37,DEPUTY CHIEF SECRETARY ADMIN DIVISION,95,MEETING ROOM
4,04th Floor,37,DEPUTY CHIEF SECRETARY ADMIN DIVISION,94,OFFICE AREA
4,04th Floor,38,INTERNAL AUDIT DIVISION,99,CHIEF INTERNAL AUDIT OFFICE
4,04th Floor,38,INTERNAL AUDIT DIVISION,100,CONFERENCE ROOM
4,04th Floor,38,INTERNAL AUDIT DIVISION,101,OFFICE AREA
4,04th Floor,43,SWITCH ROOM,118,SWITCH ROOM
4,04th Floor,41,MISCELLANEOUS,114,WIFI & PROJECTOR
5,05th Floor,46,DEPUTY CHIEF SECRETARY (PLANNING) DIVISION,121,DEPUTY CHIEF SECRETARY PLANNING
5,05th Floor,46,DEPUTY CHIEF SECRETARY (PLANNING) DIVISION,122,MEETING ROOM
5,05th Floor,46,DEPUTY CHIEF SECRETARY (PLANNING) DIVISION,123,OFFICE AREA
5,05th Floor,47,DEPUTY CHIEF SECRETARY (ENGINEERING) DIVISION,127,DEPUTY CHIEF SECRETARY ENGINEERING
5,05th Floor,47,DEPUTY CHIEF SECRETARY (ENGINEERING) DIVISION,128,MEETING ROOM
5,05th Floor,47,DEPUTY CHIEF SECRETARY (ENGINEERING) DIVISION,129,OFFICE AREA
5,05th Floor,52,SWITCH ROOM,144,SWITCH ROOM
5,05th Floor,54,SERVICES RISERS,148,WIFI & PROJECTOR
6,06th Floor,55,DEPUTY CHIEF SECRETARY (FINANCE) DIVISION,150,DEPUTY CHIEF SECRETARY FINANCE
6,06th Floor,55,DEPUTY CHIEF SECRETARY (FINANCE) DIVISION,158,OFFICE AREA
6,06th Floor,55,DEPUTY CHIEF SECRETARY (FINANCE) DIVISION,151,PUBLIC MEETING ROOM
6,06th Floor,55,DEPUTY CHIEF SECRETARY (FINANCE) DIVISION,153,STORE ROOM & RECORD ROOM
6,06th Floor,55,DEPUTY CHIEF SECRETARY (FINANCE) DIVISION,152,TENDER RECEIVING UNIT
6,06th Floor,56,DEPUTY CHIEF SECRETARY (PERSONAL & TRAINING) DIVISION,159,DEPUTY CHIEF SECRETARY PERSONAL AND TRAINING
6,06th Floor,56,DEPUTY CHIEF SECRETARY (PERSONAL & TRAINING) DIVISION,160,MEETING ROOM
6,06th Floor,56,DEPUTY CHIEF SECRETARY (PERSONAL & TRAINING) DIVISION,162,OFFICE AREA
6,06th Floor,56,DEPUTY CHIEF SECRETARY (PERSONAL & TRAINING) DIVISION,254,OFFICE AREA
6,06th Floor,57,GENERAL AUDIT DIVISION,164,ASSISTANT AUDITOR GENERAL
6,06th Floor,57,GENERAL AUDIT DIVISION,165,OFFICE AREA
6,06th Floor,62,SWITCH ROOM,176,SWITCH ROOM
6,06th Floor,64,SERVICES RISERS,180,WIFI & PROJECTOR
7,07th Floor,65,MINISTRY OF AGRICULTURE,182,MINISTER MEETING ROOM
